IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,60,2.37
8.210.175.109,2086,2086,false,HKG,Asia Pacific,Hong Kong,60,2.08
8.218.222.36,2053,2053,true,HKG,Asia Pacific,Hong Kong,60,2.00
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,1.71
8.218.142.253,2095,2095,false,HKG,Asia Pacific,Hong Kong,66,1.69
8.217.207.60,2082,2082,false,HKG,Asia Pacific,Hong Kong,66,1.44
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,1.41
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,1.23
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,314,1.09
47.243.90.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,75,1.07
47.76.146.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,1.01
47.242.79.71,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,0.99
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,0.97
47.243.74.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,0.95
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,75,0.90
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,0.90
8.210.3.24,2095,2095,false,HKG,Asia Pacific,Hong Kong,66,0.88
47.243.74.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,0.86
8.210.34.188,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,0.85
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,0.83
8.217.121.207,2082,2082,false,HKG,Asia Pacific,Hong Kong,66,0.83
47.243.74.220,2095,2095,false,HKG,Asia Pacific,Hong Kong,50,0.77
8.210.3.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,0.76
8.217.207.60,2086,2086,false,HKG,Asia Pacific,Hong Kong,75,0.76
8.218.8.142,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,0.75
47.76.146.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,0.75
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,0.75
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,50,0.74
